title,brand,final_price,images_count,weight,rating,reviews_count
Where Is Baby's Belly Button? A Lift-the-Flap Book,Karen Katz,4.98,3,7.1,4.8,10439
Chicka Chicka Boom Boom,John Archambault,8.99,3,5.8,4.9,28340
Hatchet,Gary Paulsen,11.59,3,10.2,4.7,16012
Create This Book 2,Moriah Elizabeth,13.99,2,11.2,4.8,12878
Create This Book,Moriah Elizabeth,13.99,4,10.4,4.8,15317
Potty (Leslie Patricelli board books),Leslie Patricelli,6.29,4,10.9,4.7,11820
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,8.45,6,7.6,4.7,31132
The Communist Manifesto,Karl MarxFriedrich Engels,3,2,2.08,4.3,10614
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,6.99,6,5.6,4.8,26812
The Screaming Goat (Book & Figure),,7.7,2,2.82,4.7,22185
Sesame Street: The Monster at the End of this Book: Includes Illustrated Book and Grover Backpack Clip (RP Minis),Jon Stone,9.95,1,1.48,4.9,23181
Goodnight Moon,Margaret Wise Brown,5.36,6,6.1,4.9,20708
"Forgiving What You Can't Forget: Discover How to Move On, Make Peace with Painful Memories, and Create a Life That’s Beautiful Again",Lysa TerKeurst,14.4,5,15.8,4.8,16219
Wacky Waving Inflatable Tube Guy (RP Minis),"by Conor Riordan (Author), Gemma Correll (Illustrator)",6.79,3,6.3,4.0,33666
Bob Ross Bobblehead: With Sound! (RP Minis),Bob Ross,6.85,5,2.89,4.7,15696
Everyday Tarot Mini Tarot Deck (RP Minis),Brigit Esselmont,10.39,3,8.5,4.8,10863
"The Henna Artist: A Novel (The Jaipur Trilogy, 1)",Alka Joshi,13.66,3,9.5,4.5,14789
The Lost Apothecary: A Novel,Sarah Penner,13.99,1,15.2,4.3,18405
"The Henna Artist: A Novel (The Jaipur Trilogy, 1)",Alka Joshi,13.98,1,13.8,4.5,14789
"Virgin River (A Virgin River Novel, 1)",Robyn Carr,10.69,2,10.4,4.6,11102
The Glass Castle: A Memoir,Jeannette Walls,13.15,4,9.6,4.6,16213
The Name of the Wind,Patrick Rothfuss,9.89,4,12.4,4.7,21138
The Coldest Winter Ever: A Novel,Sister Souljah,9.98,3,10.6,4.9,15405
"One Second After (A John Matherson Novel, 1)",William R. Forstchen,8.99,4,9.6,4.6,13306
"Ender's Game (The Ender Saga, 1)",Orson Scott Card,9.34,5,12,4.6,15984
The Three-Body Problem,Cixin Liu,10.59,3,15.7,4.3,10996
"Ender's Game (The Ender Saga, 1)",Orson Scott Card,9.49,4,12.8,4.6,15984
Deacon King Kong: A Novel,James McBride,14.99,3,11.5,4.5,12777
Where the Crawdads Sing,Delia Owens,9.98,4,11.2,4.8,196572
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,8.44,12,6.4,4.8,18618
Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman,12.78,2,9.6,4.5,49889
Paint by Sticker Kids: Unicorns & Magic: Create 10 Pictures One Sticker at a Time! Includes Glitter Stickers,Workman Publishing,6.73,12,8.6,4.8,16371
The Couple Next Door: A Novel,Shari Lapena,9.96,1,8.8,4.3,24002
Little Fires Everywhere: A Novel,Celeste Ng,10.2,4,8.8,4.5,51944
The Searcher: A Novel,Tana French,14.27,1,14.6,4.3,22178
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell,13.39,1,12,4.6,10880
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson, 20th Anniversary Edition",Mitch Albom,7.51,4,5.6,4.8,14255
"As a Man Thinketh (Volume 1) (Classic Thoughts and Thinkers, 1)",James Allen,7.99,3,5.6,4.7,14252
"The Lightning Thief (Percy Jackson and the Olympians, Book 1)",Rick Riordan,5.97,3,9.6,4.7,20296
"Carson Dellosa Alphabet Flash Cards—Double-Sided, Uppercase and Lowercase Letter and Sound Recognition With Illustrations, Early Reading Comprehension Practice Set (54 pc)",by Brighter Child (Compiler),2.99,7,6.4,4.8,15212
"Carson Dellosa Colors and Shapes Flash Cards—Double-Sided, Essential Shapes, Basic Colors, Names With Illustrations, Early Math and Reading Comprehension Practice Set (54 pc)",by Brighter Child (Compiler),2.99,8,7.2,4.7,27689
"Dungeons & Dragons Monster Manual (Core Rulebook, D&D Roleplaying Game)",Wizards RPG Team,27.49,6,0.042,4.9,20764
"Brown Bear, Brown Bear, What Do You See?","by Bill Martin Jr. (Author), Eric Carle (Author)",7.69,2,10.4,4.9,36073
"Brown Bear, Brown Bear, What Do You See?","by Bill Martin Jr. (Author), Eric Carle (Author)",5.36,3,7.4,4.9,36073
"Brown Bear, Brown Bear, What Do You See? My First Reader","by Bill Martin Jr. (Author), Eric Carle (Illustrator)",4.99,5,7.2,4.9,36073
Being Mortal: Medicine and What Matters in the End,Atul Gawande,14.1,2,13.6,4.8,16305
Room on the Broom,Julia Donaldson,16.99,3,15,4.9,29363
The Gruffalo (Picture Books),Julia Donaldson,15.99,7,12.8,4.9,20576
Baby Signs: A Baby-Sized Introduction to Speaking with Sign Language,Joy Allen,5.18,8,6,4.6,10521
Dragons Love Tacos,Adam RubinDaniel Salmieri,8.95,7,13.8,4.7,12520
Room on the Broom,Julia Donaldson,6.17,2,10.1,4.9,29363
Station Eleven,Emily St. John Mandel,10.23,1,9.6,4.3,13332
Shuggie Bain: A Novel,Douglas Stuart,12.17,4,14.4,4.4,25878
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,5.42,2,3.84,4.7,17980
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,7.57,5,7.2,4.8,58827
Man's Search for Meaning,Viktor E. Frankl,8.39,1,8.5,4.7,38021
White Fragility: Why It's So Hard for White People to Talk About Racism,"by Dr. Robin DiAngelo (Author), Michael Eric Dyson (Foreword)",8.16,1,10.4,4.5,37817
"Man's Search for Meaning, Gift Edition",Viktor E. Frankl,14.35,3,13.8,4.7,38021
Hatchet,Gary Paulsen,25,2,3.68,4.7,16012
Harry Potter and the Prisoner of Azkaban (Book 3),J.K. Rowling,42.69,1,11.8,4.9,33749
I Know Why the Caged Bird Sings,Maya Angelou,15.49,2,12,4.8,16235
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,10.95,4,10.4,4.6,18143
The Unlikely Pilgrimage of Harold Fry: A Novel,Rachel Joyce,11,3,9.6,4.4,11120
Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,9.11,3,9.6,4.8,20515
When Breath Becomes Air,Paul KalanithiAbraham Verghese,14.63,1,11.2,4.7,22457
Between the World and Me,Ta-Nehisi Coates,12.92,3,9,4.7,18421
Inner Engineering: A Yogi's Guide to Joy,Sadhguru,19.88,3,14,4.7,11245
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd BurpoLynn Vincent,9.58,1,6.7,4.7,16897
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,16.89,4,9,4.7,11867
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey RinkerTom Lichtenheld,14.49,11,15.2,4.9,16563
"Press Here (Interactive Book for Toddlers and Kids, Interactive Baby Book) (Press Here by Herve Tullet)",Herve Tullet,8.98,16,15.5,4.8,11958
The Autobiography of Malcolm X,Alex Haley,16.69,3,10.2,4.8,13577
Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,Melody Beattie,12.99,4,13.4,4.7,12579
"School Zone - Go Fish Alphabet Game Cards - Ages 4 and Up, Preschool to First Grade, Uppercase and Lowercase Letters, ABCs, Word-Picture Recognition, Animals, Card Game, Matching, and More",School Zone,2.67,5,1.06,4.7,10216
The Invisible String,Patrice Karst,8.99,5,0.035,4.8,14226
Love You Forever,Sheila McGraw,12.46,7,8,4.9,43247
Love You Forever,Sheila McGraw,4.98,7,4,4.9,43247
The Secret Lake: A children's mystery adventure,Karen Inglis,7.99,3,5.1,4.7,11923
The Rider Tarot Deck,Arthur Edward Waite,19.76,6,8.4,4.8,18739
"School Zone - Alphabet Flash Cards - Ages 3 and Up, Preschool, Letter-Picture Recognition, Word-Picture Recognition, Alphabet, and More",School Zone,2.99,5,2.88,4.8,16791
"School Zone - Sight Words Flash Cards - Ages 5 and Up, Kindergarten to 1st Grade, Phonics, Beginning Reading, Sight Reading, Early-Reading Words, and More",School Zone,2.67,5,0.32,4.8,14501
The Restaurant,Pamela M. Kelley,10.78,2,9.3,4.1,14791
Her,Pierre Alex Jeanty,14.59,2,6.4,4.7,21038
Diary of a Minecraft Zombie Book 1: A Scare of A Dare,Zack Zombie,5.71,2,3.99,4.7,10062
"My Best Toddler Coloring Book - Fun with Numbers, Letters, Shapes, Colors, Animals: Big Activity Workbook for Toddlers & Kids",Happy Toddlerz,4.99,7,11.7,4.8,10863
Stoner Coloring Book for Adults: The Stoner's Psychedelic Coloring Book,Edwina Mc Namee,7.99,2,12.5,4.7,13505
A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,Matthew R. Kratter,6.99,2,5.4,4.5,13067
Lilac Girls: A Novel (Woolsey-Ferriday),Martha Hall Kelly,10.05,1,13.4,4.6,13104
The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre,14.29,1,11.8,4.7,12522
Dark Matter: A Novel,Blake Crouch,14.99,1,9.6,4.5,13742
"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades Of Grey Series, 4)",E L James,11.83,1,15.2,4.5,34483
The Rooster Bar: A Novel,John Grisham,7.35,1,8,4.2,13195
Homegoing,Yaa Gyasi,13.53,1,8,4.6,12636
Peace Talks (Dresden Files),Jim Butcher,7.48,1,8.8,4.7,16394
Zen as F*ck (Zen as F*ck Journals),Monica Sweeney,9.29,10,6.4,4.7,22179
The Meaning of Mariah Carey,Mariah Carey,16.99,2,12,4.8,11901
The Giver (25th Anniversary Edition): 25th Anniversary Edition (Giver Quartet),Lois Lowry,13.56,1,12.8,4.7,22330
Call Me by Your Name: A Novel,André Aciman,6.96,2,8,4.7,16661
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),Monica Sweeney,8.99,8,6.4,4.7,23817
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,14.49,4,10.6,4.8,21179
The Dinky Donkey,Craig Smith,4.42,4,2.88,4.8,11973
"Good Night, Little Blue Truck",Alice Schertle,10.77,2,12.8,4.9,12487
1984,George Orwell,10.99,2,14.4,4.7,55581
The Handmaid's Tale,Margaret Atwood,14.99,4,15.2,4.4,50377
I Love You to the Moon and Back (Made With Love),"by Sandra Magsamen (Author, Illustrator)",7.99,1,12,4.9,45204
"All Systems Red: The Murderbot Diaries (The Murderbot Diaries, 1)",Martha Wells,11.69,1,8.8,4.5,11614
House in the Cerulean Sea,TJ Klune,14.68,4,10.6,4.7,16912
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'ReillyMartin Dugard,10.49,3,10.3,4.7,10497
Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),Bill O'Reilly,10.29,2,12,4.8,10537
"Shadow and Bone (The Shadow and Bone Trilogy, 1)",Leigh Bardugo,7.82,3,13.1,4.5,21976
Cat Kid Comic Club: A Graphic Novel (Cat Kid Comic Club #1): From the Creator of Dog Man,Dav Pilkey,7.2,4,14.8,4.9,13965
Fly Away,Kristin Hannah,10.67,3,15,4.5,13223
A Street Cat Named Bob: And How He Saved My Life,James Bowen,9.89,4,8.8,4.8,11202
Cilka's Journey,Heather Morris,9.84,4,11.2,4.7,17630
"Ruin and Rising (The Shadow and Bone Trilogy, 3)",Leigh Bardugo,7.77,4,14.4,4.6,14762
The Silent Patient,Alex Michaelides,13.32,4,11.2,4.5,92537
Nine Perfect Strangers,Liane Moriarty,11.39,4,14.7,4.1,17210
Your Baby's First Word Will Be DADA,Jimmy Fallon,5,3,9.9,4.7,12823
"Red, White & Royal Blue: A Novel",Casey McQuiston,9.97,3,12.9,4.6,16738
Being Mortal: Medicine and What Matters in the End,Atul Gawande,10.39,1,9.6,4.8,16305
"Six of Crows (Six of Crows, 1)",Leigh Bardugo,7.99,3,15.4,4.7,18306
Me,Elton John,17.99,2,15.2,4.8,18141
Permanent Record,Edward Snowden,13.89,1,10.4,4.7,10545
"Ender's Game (The Ender Saga, 1)",Orson Scott Card,7.99,1,6.4,4.6,15984
"Ender's Game (The Ender Saga, 1)",Orson Scott Card,10.29,2,10.4,4.6,15984
Killing Crazy Horse: The Merciless Indian Wars in America (Bill O'Reilly's Killing Series),Bill O'Reilly,27.98,1,7.8,4.7,12831
"Harry Potter and the Cursed Child, Parts One and Two: The Official Playscript of the Original West End Production: The Official Script Book of the Original West End Production",J. K. RowlingJack ThorneJohn Tiffany,7.98,4,8,4.2,35661
"Shadow and Bone (The Shadow and Bone Trilogy, 1)",Leigh Bardugo,7.05,4,12.8,4.5,21976
Flash Cards: Sight Words,"by Scholastic Teacher Resources (Author), Scholastic (Author)",2.88,13,5.6,4.8,12777
"Faithless in Death: An Eve Dallas Novel (In Death, 52)",J. D. Robb,17,1,2.46,4.8,15737
"Year One: Chronicles of The One, Book 1 (Chronicles of The One, 1)",Nora Roberts,10.83,2,12.8,4.6,10850
"Rise of Magicks (Chronicles of The One, 3)",Nora Roberts,12.22,4,14.4,4.7,10814
Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think,Hans RoslingAnna Rosling RönnlundOla Rosling,11.59,1,14.4,4.6,11404
The Wife Between Us: A Novel,Greer HendricksSarah Pekkanen,9.98,2,12.8,4.4,11865
Behind Closed Doors: A Novel,B.A. Paris,8.8,4,9.9,4.3,26475
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,13.67,3,11.8,4.6,26448
Wish,Barbara O'Connor,4.41,1,6.4,4.7,10216
The Queen's Gambit: A Novel,Walter Tevis,9.87,1,8,4.7,16251
"All the Devils Are Here (Chief Inspector Gamache Novel, 16)",Louise Penny,13.6,4,13.6,4.7,21217
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,17.41,5,11.2,4.6,13502
The Curious Incident of the Dog in the Night-Time,Mark Haddon,7.29,3,9.1,4.3,11546
The Immortal Life of Henrietta Lacks,Rebecca Skloot,12.1,3,13.6,4.7,15236
Jesus Calling: Enjoying Peace in His Presence,Sarah Young,13.15,6,13.7,4.9,30551
The Wonky Donkey,Craig Smith,9.84,5,5.3,4.8,64835
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S. C. Gwynne,12.29,3,12.8,4.8,10915
Chicka Chicka Boom Boom (Book & CD),John Archambault,7.26,7,8,4.9,28340
Hatchet,Gary Paulsen,6.51,2,4,4.7,16012
Hatchet,Gary Paulsen,6.1,6,4.8,4.7,16012
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.98,3,6.4,4.8,14056
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,7.75,8,13.4,4.9,16892
Light Seer's Tarot: A 78-Card Deck & Guidebook,Chris-Anne,17.46,1,14.1,4.8,10661
Hard Luck (Diary of a Wimpy Kid #8),Jeff Kinney,10,6,13.6,4.8,10094
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,8.78,6,13.6,4.8,11167
Double Down (Diary of a Wimpy Kid #11),Jeff Kinney,8.78,6,12.8,4.8,10804
The Getaway (Diary of a Wimpy Kid Book 12),Jeff Kinney,8.08,6,13.6,4.8,13137
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,8.98,7,13.6,4.8,15855
"The Titan's Curse (Percy Jackson and the Olympians, Book 3)",Rick Riordan,5,5,8,4.8,10131
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,6.05,5,9.8,4.8,10627
"The Sea of Monsters (Percy Jackson and the Olympians, Book 2)",Rick Riordan,5.98,5,8,4.8,10827
"The Heroes of Olympus, Book Three The Mark of Athena (Heroes of Olympus, The Book Three) (The Heroes of Olympus, 3)",Rick Riordan,9.99,5,15.2,4.8,11094
"The Heroes of Olympus, Book Five The Blood of Olympus (Heroes of Olympus, The, Book Five) (Heroes of Olympus, The, 5)",Rick Riordan,9.99,1,11.2,4.8,12014
"Waiting Is Not Easy! (An Elephant and Piggie Book) (Elephant and Piggie Book, An)",Mo Willems,5.42,3,9.6,4.8,12801
The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,7.38,1,13.6,4.9,36460
How Not to Die: Discover the Foods Scientifically Proven to Prevent and Reverse Disease,Michael Greger M.D. FACLMGene Stone,32.12,1,14.1,4.7,18231
A Long Walk to Water,Linda Sue Park,11.63,1,9.6,4.8,13442
Bushcraft 101: A Field Guide to the Art of Wilderness Survival,Dave Canterbury,10.39,10,10.5,4.7,17995
The Communist Manifesto,Karl MarxFriedrich Engels,,0,4.2,4.3,10614
The Power of Your Subconscious Mind,Joseph Murphy,6.94,2,9.6,4.6,37284
Still Alice,Lisa Genova,11.5,2,11.2,4.7,10098
How to Win Friends and Influence People,Dale Carnegie,18.39,2,14.6,4.7,52216
On Writing: A Memoir of the Craft,Stephen King,18.48,3,15.7,4.8,10656
Chicka Chicka Boom Boom (Board Book),John Archambault,4.59,4,10.6,4.9,28340
The 5 AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,7.29,2,7.7,4.6,14620
Milk and Honey,Rupi Kaur,7.38,11,7.2,4.7,37615
Disney Dreams Collection Thomas Kinkade Studios Coloring Book,Thomas Kinkade,6.79,4,13.6,4.7,24370
The Sun and Her Flowers,Rupi Kaur,9,8,10.4,4.8,13703
Home Body,Rupi Kaur,7.48,5,8,4.8,12921
Trapped in a Video Game (Volume 1),Dustin Brady,4.99,6,8.3,4.7,10112
Trapped in a Video Game (Volume 1),Dustin Brady,10.5,6,13.6,4.7,10112
Milk and Honey,Rupi Kaur,17.99,7,14.3,4.7,37615
"As the Crow Flies (DI Nick Dixon Crime, 1)",Damien Boyd,11.59,3,7.2,4.2,10154
Yellow Crocus,Laila Ibrahim,6.99,3,10.4,4.6,20041
"Carson Dellosa Bilingual Sight Words Flash Cards―Grades K-2, 100+ Sight Words in English and Spanish, Double-Sided Cards, Reading Readiness Skills for Ages 5+ (54 pc)","by Brighter Child (Compiler), Carson-Dellosa Publishing (Compiler)",2.99,7,7.2,4.8,15212
What to Expect When You're Expecting 5th Edition,by Heidi E Murkoff (Author),20.32,1,9.6,4.8,25304
Noble Beginnings: A Jack Noble Novel,L.T. Ryan,9.99,3,12,4.1,10510
Hamilton: The Revolution,Lin-Manuel MirandaJeremy McCarter,14.98,1,4,4.9,11826
How to Catch a Mermaid,Adam WallaceAndy Elkerton,5.03,10,10.6,4.8,23871
Sold on a Monday: A Novel,Kristina McMorris,7.99,2,12.9,4.4,22747
How to Catch a Unicorn,Adam WallaceAndy Elkerton,5.49,8,10.6,4.8,27293
The Book Woman of Troublesome Creek: A Novel,Kim Michele Richardson,7.99,2,11.5,4.6,26714
The Picture of Dorian Gray,Oscar Wilde,,0,10.1,4.5,10147
Ordinary Grace,William Kent Krueger,10.19,4,8.8,4.6,14407
The Longest Ride,Nicholas Sparks,8,3,8,4.7,12485
Fahrenheit 451,Ray Bradbury,8.29,4,8.8,4.6,24966
"The Wrong Side of Goodbye (A Harry Bosch Novel, 19)",Michael Connelly,9.99,2,8.8,4.7,11478
"The Black Book (A Black Book Thriller, 1)",James PattersonDavid Ellis,12.17,4,13.6,4.6,11275
"Memory Man (Memory Man Series, 1)",David Baldacci,4.5,5,9.6,4.5,19315
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,by Eben Alexander (Author),10.49,3,7.2,4.4,15898
The Perks of Being a Wallflower,Stephen Chbosky,7.19,4,7.2,4.7,19215
Pachinko (National Book Award Finalist),Min Jin Lee,13.16,4,15.2,4.6,16905
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,by Admiral William H. McRaven (Author),11.94,4,9,4.7,23808
10-Day Green Smoothie Cleanse,JJ Smith,9.91,4,9.4,4.7,30000
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,14.99,5,14.4,4.6,10449
November 9: A Novel,Colleen Hoover,11.27,4,8.8,4.7,10261
It Ends with Us: A Novel,Colleen Hoover,9.47,2,11.2,4.7,45404
"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)",Sherri Duskey RinkerTom Lichtenheld,7.66,1,8.8,4.9,16563
City of Bones (1) (The Mortal Instruments),Cassandra Clare,11.24,6,15.4,4.5,10449
Grit: The Power of Passion and Perseverance,Angela Duckworth,9.88,2,12,4.6,10042
The Unhoneymooners,Christina Lauren,8.44,4,11.2,4.5,15472
The Choice: Embrace the Possible,by Dr. Edith Eva Eger (Author),10.37,4,8.8,4.8,13293
The Woman in Cabin 10,Ruth Ware,7.2,2,11.2,4.2,11104
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,9.08,4,15.2,4.8,18656
American Marxism,Mark R. Levin,14,3,15,4.9,23204
The Rosie Project: A Novel,Graeme Simsion,10.66,6,9.9,4.5,20649
A Man Called Ove: A Novel,Fredrik Backman,7.63,3,9.9,4.6,40311
Why We Sleep: Unlocking the Power of Sleep and Dreams,by Matthew Walker PhD (Author),10.29,2,10.4,4.7,14807
My Own Words,Ruth Bader Ginsburg,9.18,4,11.4,4.8,10647
Hopeless,Colleen Hoover,14.99,4,12,4.6,14417
This Tender Land: A Novel,William Kent Krueger,9.76,2,12,4.6,19033
Ugly Love: A Novel,Colleen Hoover,10.19,4,9.6,4.7,18922
Then She Was Gone: A Novel,Lisa Jewell,8.52,3,10.4,4.6,37344
Mr. Mercedes: A Novel (1) (The Bill Hodges Trilogy),Stephen King,15.99,3,13.6,4.5,15396
Anxious People: A Novel,Fredrik Backman,13.12,2,9.9,4.4,36144
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,9.42,4,10.9,4.6,39573
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Children’s Book)",Jill TwissMarlon Bundo,13.55,6,15.2,4.9,14627
Press Here,Herve Tullet,8.08,11,12.7,4.8,11958
After (1) (The After Series),Anna Todd,9.34,4,15.8,4.7,12936
The Outsider: A Novel,Stephen King,11.39,2,15.2,4.6,21578
The Family Upstairs: A Novel,Lisa Jewell,12.96,2,10.4,4.4,28028
Total Power (19) (A Mitch Rapp Novel),Kyle Mills,7.48,2,7.7,4.5,15051
A Long Walk to Water: Based on a True Story,Linda Sue Park,14.99,1,4.8,4.8,13442
"The Green Witch: Your Complete Guide to the Natural Magic of Herbs, Flowers, Essential Oils, and More",Arin Murphy-Hiscock,9.68,4,12.5,4.8,20166
What the Wind Knows,Amy Harmon,8.19,2,14.2,4.6,13912
Where the Forest Meets the Stars,Glendy Vanderah,6.99,4,12,4.5,26551
"The Butterfly Garden (The Collector, 1)",Dot Hutchison,7.39,3,10.1,4.4,22177
The Extraordinary Life of Sam Hell: A Novel,Robert Dugoni,10.99,2,15.2,4.6,18915
The Tuscan Child,Rhys Bowen,10.99,2,12,4.3,15766
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S. C. Gwynne,14.58,1,11.2,4.8,10915
The Richest Man in Babylon: Original 1926 Edition,George S. Clason,6.99,4,5.6,4.7,21870
Romeo and Juliet: The Tragical History Deluxe Club Edition (Shakespeare's Original),by William Shakespeare (Author),6.29,2,4.8,4.6,10253
Room On The Broom,Julia Donaldson,11.98,3,13.2,4.9,29363
This is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,15.96,3,7.7,4.6,31432
"Children of Blood and Bone (Legacy of Orisha) [Mar 08, 2018] Adeyemi, Tomi",Tomi Adeyemi,13.85,4,13.7,4.7,11663
This Is Going to Hurt: Secret Diaries of a Junior Doctor,Adam Kay,14.95,3,7.7,4.6,31432
The Girl with the Louding Voice: A Novel,Abi Daré,12.28,1,11.2,4.6,10859
Ready Player Two: A Novel,Ernest Cline,13.08,1,9.6,4.2,32572
Becoming,Michelle Obama,10.48,1,13.8,4.8,117478
"We're Different, We're the Same (Sesame Street)",Joe Mathieu,8.99,1,11.8,4.9,10132
How to Babysit a Grandma,Jean ReaganLee Wildish,8.67,2,8.6,4.8,11647
Camino Island: A Novel,John Grisham,10.13,2,8,4.3,20749
Daisy Jones & The Six: A Novel,Taylor Jenkins Reid,10.16,1,10.6,4.4,18056
Calm the F*ck Down: An Irreverent Adult Coloring Book,Sasha O'Hara,4.99,4,5.1,4.6,20010
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (Library Edition),Zack Zombie,7.99,2,4,4.7,10062
Never Binge Again(tm): Reprogram Yourself to Think Like a Permanently Thin Person. Stop Overeating and Binge Eating and Stick to the Food Plan of Your Choice!,Glenn Livingston Ph.D.,14.95,3,8,4.2,13353
Home Body,Rupi Kaur,17.49,5,15.2,4.8,12921
Tall Tales and Wee Stories,Billy Connolly,16.99,5,9.2,4.6,11456
Fucking Adorable - Cute Critters with foul Mouths,Heather Land,4.99,4,5.3,4.7,20744
"Deadly Cross (Alex Cross, 28)",James Patterson,13.58,1,12,4.7,19820
The President Is Missing: A Novel,James PattersonBill Clinton,10.41,2,14.4,4.4,18859
"The Silent Wife: A gripping, emotional page-turner with a twist that will take your breath away",Kerry Fisher,11.69,4,9.6,4.3,14299
"The 19th Christmas (Women's Murder Club, 19)",James PattersonMaxine Paetro,10,4,10.4,4.7,13721
"The Silent Wife: A gripping, emotional page-turner with a twist that will take your breath away",Kerry Fisher,7.99,4,6.6,4.3,14299
A Gambling Man (An Archer Novel),David Baldacci,11.99,1,11.2,4.4,21250
Verity,Colleen Hoover,13.08,2,12,4.6,42924
Every Breath,Nicholas Sparks,9.13,4,8.8,4.7,12905
The Return,Nicholas Sparks,12.48,1,12.6,4.6,32995
"Dark Sacred Night (A Renée Ballard and Harry Bosch Novel, 21)",Michael Connelly,14.49,2,13.4,4.6,10334
"The Night Fire (A Renée Ballard and Harry Bosch Novel, 22)",Michael Connelly,11.47,4,11.2,4.6,14978
"Fair Warning (Jack McEvoy, 3)",Michael Connelly,11.28,2,14.7,4.5,21790
Win (Windsor Horne Lockwood III),Harlan Coben,13.08,1,10.6,4.4,21961
One Good Deed (An Archer Novel),David Baldacci,9.81,4,11.2,4.5,12741
"The Law of Innocence (A Lincoln Lawyer Novel, 6)",Michael Connelly,8.99,1,10.4,4.5,34833
"The Law of Innocence (A Lincoln Lawyer Novel, 6)",Michael Connelly,13.99,4,11.2,4.5,34833
"Long Road to Mercy (An Atlee Pine Thriller, 1)",David Baldacci,13.58,4,12,4.4,14681
"A Minute to Midnight (An Atlee Pine Thriller, 2)",David Baldacci,12.59,2,12.8,4.6,13852
"Daylight (An Atlee Pine Thriller, 3)",David Baldacci,13.47,1,14.4,4.5,26102
Punk 57,Penelope Douglas,13.99,2,14.4,4.5,11898
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,5.99,2,5.6,4.6,23170
Layla,Colleen Hoover,9.99,3,11.2,4.3,13122
When We Believed in Mermaids: A Novel,Barbara O'Neal,6.69,4,12,4.5,46944
The Dressmaker's Gift,Fiona Valpy,8.99,2,10.6,4.5,25606
The Skylark's Secret,Fiona Valpy,8.79,2,10.4,4.4,15433
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,11.98,4,15.4,4.4,43355
Regretting You,Colleen Hoover,10.99,2,13.1,4.6,12701
