title,brand,final_price,images_count,weight,rating,reviews_count
The Duke and I: The (Bridgertons Book 1),Julia Quinn,4.99,3,7.2,4.6,32433
"To Sir Phillip, With Love (Bridgertons Book 5)",Julia Quinn,4.48,3,7.4,4.6,15975
When He Was Wicked (Bridgertons Book 6),Julia Quinn,4.48,3,7.2,4.6,14459
The Fault in Our Stars,John Green,6.1,4,12,4.7,57358
Room on the Broom,Julia Donaldson,6.98,3,5.1,4.9,29363
The Book of Longings: A Novel,Sue Monk Kidd,11.5,1,10.4,4.5,12828
The Invention of Wings,Sue Monk Kidd,12.71,2,9.6,4.7,17777
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,9.29,4,11.2,4.8,28517
Everything I Never Told You,Celeste Ng,7.25,3,8,4.3,21486
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",by Bessel van der Kolk M.D. (Author),11.4,3,13.4,4.8,39631
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor GarcíaFrancesc Miralles,12.99,3,9.6,4.6,19968
Wreck This Journal: Now in Color,Keri Smith,9.59,1,11.2,4.7,17424
The Salt Path: A Memoir,Raynor Winn,14.9,1,8,4.4,11306
We Were the Lucky Ones: A Novel,Georgia Hunter,8.79,4,9.9,4.7,10610
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,7.48,1,9.9,4.8,28517
Animal Farm,George Orwell,16.99,3,8.4,4.7,26096
Life of Pi,Yann Martel,8.99,4,9.6,4.4,12860
Pride and Prejudice (Oxford World's Classics),Jane Austen,5.95,1,9.5,4.6,24978
The Picture of Dorian Gray (Oxford World's Classics),Oscar Wilde,7.75,3,6.9,4.5,10147
Hinch Yourself Happy: All The Best Cleaning Tips To Shine Your Sink And Soothe Your Soul,Mrs Hinch,17.83,12,15.6,4.7,17523
Lady in Waiting: My Extraordinary Life in the Shadow of the Crown,Anne Glenconner,15.99,1,10.4,4.4,13678
The Monster at the End of This Book,Jon Stone,2.98,1,4,4.9,23181
Just Me and My Dad (Little Critter),Mercer Mayer,3.1,1,2.26,4.8,11409
Sharp Objects,Gillian Flynn,10.22,3,7.2,4.4,16417
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,7.73,4,11.2,4.6,16113
The Road (Oprah's Book Club),Cormac McCarthy,12.08,1,11.2,4.4,10644
Americanah,Chimamanda Ngozi Adichie,10.08,4,14.4,4.6,11826
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,9.29,1,8.8,4.5,21315
God Gave Us You,Lisa Tawn BergrenLaura J. Bryant,6.29,1,6.9,4.9,18171
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,9.16,1,12.8,4.6,17891
Ready Player One: A Novel,Ernest Cline,11,4,9.6,4.7,40904
Fox in Socks: Dr. Seuss's Book of Tongue Tanglers (Bright & Early Board Books(TM)),Dr. Seuss,3.4,1,1.6,4.9,11778
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,9.7,5,12.6,4.5,13346
Another Monster at the End of This Book,Jon Stone,4.99,1,4,4.9,23181
"Boundaries Updated and Expanded Edition: When to Say Yes, How to Say No To Take Control of Your Life",Henry Cloud,13.23,3,11.3,4.7,18440
