PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS,RK,Position,SALARY
OG Anunoby,NYK,26,50,31,19,34,118.2,107.2,10.9,8.4,1.32,13.4,2.8,9.1,6.1,10.1,57.7,59.5,17.3,98.71,8.1,3503,30, F,"36,637,931.00"
Julius Randle,NYK,29,46,29,17,35.4,119.7,113.8,6,21.7,1.44,16.9,5.9,19.8,12.8,11.7,51.8,56.9,28.7,98.84,13.4,3364,45, F,"33,073,920.00"
Immanuel Quickley,TOR,25,68,28,40,29.2,113.2,114.2,-1,24.5,3.28,23.1,0.8,12,6.4,7.1,53,57.7,23.3,100.43,11.9,4157,46, G,"32,500,000.00"
John Collins,UTA,26,68,27,41,28,114.2,121.7,-7.5,6,0.79,7.7,7.9,22.2,14.9,9.8,59,62.1,19.9,101.3,11.1,4010,58, F,"26,580,000.00"
Nic Claxton,BKN,25,71,27,44,29.8,108.4,114.1,-5.6,10.7,1.58,16.2,8.8,23.9,16.2,10.3,63,62.9,15.6,98.42,12.8,4323,56, C,"27,556,817.00"
Bruce Brown,TOR,27,67,26,41,27.8,115.6,121.4,-5.8,13.2,2.23,20.9,2.8,12.6,7.7,9.3,52.3,56.3,16.1,102.72,7.6,3993,72, G,"23,000,000.00"
De'Andre Hunter,ATL,26,57,26,31,29.5,116.7,117.9,-1.3,7.3,1.05,9.5,1.8,11.6,6.6,9.1,54.7,59.5,20.4,101.11,7.9,3539,80, F,"21,696,429.00"
RJ Barrett,TOR,24,58,26,32,31.7,113.6,116.9,-3.3,15.9,1.53,14.5,2.8,14,8.3,9.5,54.7,58,25.7,101.83,10.9,3889,61, F,"25,794,643.00"
Tyler Herro,MIA,24,42,23,19,33.5,112.1,111.1,1,21.8,2.02,17.8,1.3,14,7.8,8.8,53.1,55.8,26.8,98.48,11.9,2888,55, G,"29,000,000.00"
Jaren Jackson Jr.,MEM,24,66,22,44,32.2,106.6,113.9,-7.3,13.3,0.96,9.3,3.7,13.2,8.3,9.7,49.5,55.3,30.2,100.01,11.1,4418,63, F,"25,257,798.00"
Lauri Markkanen,UTA,27,55,22,33,33.1,117.6,116.9,0.6,9,1.43,9.2,6.5,17.6,12.1,6.4,57.8,63.1,24.1,102.49,13.6,3884,21, F,"42,176,400.00"
Terry Rozier,MIA,30,61,22,39,33.4,110.2,117.2,-7,26.8,3.23,22.5,1.7,11,6.2,7,51.8,55.5,25.3,98.41,11.7,4184,66, G,"24,924,126.00"
Trae Young,ATL,25,54,22,32,36,116.6,119.1,-2.5,43.5,2.48,29.2,1.1,6.5,3.7,11.8,51.6,58.5,28.9,104.95,13.1,4241,19, G,"43,031,940.00"
Cameron Johnson,BKN,28,58,21,37,27.6,111.5,114.9,-3.4,12.9,2.42,16.1,3.2,12.4,7.6,6.7,55.7,58.2,19,98.52,9.7,3297,76, F,"22,500,000.00"
Devin Vassell,SAS,23,68,17,51,33.1,108.5,114.6,-6,19.2,2.56,18.3,1.2,10.2,5.6,7.1,55,57.8,22.9,102.42,11.2,4795,53, G,"29,347,826.00"
Jerami Grant,POR,30,54,17,37,33.9,107.8,117.5,-9.6,13.8,1.31,12.2,1.9,8.7,5.2,9.3,51.6,57.3,25.5,98.26,10,3751,50, F,"29,793,104.00"
Miles Bridges,CHA,26,69,17,52,37.4,108,120.1,-12.1,14.6,1.67,13.9,2.7,17.6,9.9,8.3,52.7,55.6,24.2,98.46,11.1,5298,57, F,"27,173,913.00"
Jordan Poole,WAS,25,78,15,63,30.1,108.4,119.5,-11.1,21.2,1.82,19.1,1.3,7.4,4.3,10.4,49.1,52.9,25.6,104.7,7.6,5123,51, G,"29,651,786.00"
Malcolm Brogdon,POR,31,39,15,24,28.7,110.7,114.5,-3.7,30.1,3.57,26.1,2.4,10.8,6.5,7.3,52.2,56,22.6,99.51,12.2,2326,75, G,"22,500,000.00"
Deandre Ayton,POR,25,55,14,41,32.4,106.6,115.3,-8.7,8.6,0.91,9.3,9.6,25,17.1,10.2,57.1,58.7,21.1,97.76,14.1,3631,42, C,"34,005,126.00"
Desmond Bane,MEM,26,42,14,28,34.4,108.2,115.4,-7.2,27.2,2.05,19.5,2.3,10.4,6.2,9.5,55.2,58.9,27.3,100.82,12.8,3038,41, G,"34,005,250.00"
Kyle Kuzma,WAS,28,70,13,57,32.6,109.7,120.8,-11,20.1,1.54,15.6,2.6,17,9.8,10.1,52.1,54.7,29.5,103.56,11.4,4913,77, F,"22,410,605.00"
Anfernee Simons,POR,25,46,11,35,34.4,109.9,120.5,-10.6,26.8,2.02,19.8,1.3,9.7,5.3,9.8,52.3,56.8,27.6,97.9,11.1,3231,60, G,"25,892,857.00"
Zach LaVine,CHI,29,25,10,15,34.9,109.9,115.3,-5.4,17.2,1.88,17.3,0.9,13.4,7.2,9.2,53.1,57.8,23.8,97.91,11,1780,15, G,"44,531,940.00"
LaMelo Ball,CHA,22,22,7,15,32.3,111.8,120.2,-8.4,39.5,2.12,24.3,3.8,12.2,7.8,11.5,51.5,56.1,31.5,103,13.3,1522,36, G,"35,147,000.00"
Ja Morant,MEM,24,9,6,3,35.3,111,111.1,-0.2,38.4,2.7,24.5,1.9,13.4,7.7,9.1,51.2,57,29.6,101.08,15.7,675,27, G,"36,725,670.00"
Ja Morant,MEM,24,9,6,3,35.3,111,111.1,-0.2,38.4,2.7,24.5,1.9,13.4,7.7,9.1,51.2,57,29.6,101.08,15.7,675,27, G,"36,725,670.00"
