School,percentage,SRS,SOS,TotalPoints,OppPoints,FGA,FGPercent,3P,3PA,3PPercent,FT,FTA,FTPercent,ORB,TRB,AST,STL,BLK,TOV,PF
South Alabama,0.543,3.58,-0.49,2483,2282,2036,0.469,266,770,0.345,307,447,0.687,242,1143,399,212,151,342,512
South Carolina,0.344,-2.28,6,2059,2324,1846,0.403,244,755,0.323,327,495,0.661,378,1091,355,157,84,421,512
South Carolina State,0.161,-16.73,-4.13,2274,2599,1980,0.423,213,671,0.317,385,575,0.67,429,1097,435,224,100,486,637
South Carolina Upstate,0.5,-7.44,-3.81,2198,2225,1773,0.456,209,621,0.337,373,570,0.654,268,1014,374,237,146,421,637
South Dakota,0.387,-9.87,-3.32,2149,2282,1750,0.431,275,706,0.39,364,476,0.765,267,1041,385,138,48,360,540
South Dakota State,0.594,-1.82,-2.07,2270,2233,1805,0.45,246,700,0.351,400,505,0.792,223,1040,341,166,92,371,456
South Florida,0.438,1.95,1.95,2303,2303,1894,0.446,236,703,0.336,379,582,0.651,381,1197,429,207,98,437,568
Southeast Missouri State NCAA,0.528,-7.4,-6.81,2789,2734,2191,0.437,286,875,0.327,587,828,0.709,347,1262,497,251,115,471,767
Southeastern Louisiana,0.563,-8,-6.73,2483,2432,1942,0.458,248,672,0.369,457,616,0.742,329,1107,453,233,58,390,557
Southern,0.469,-8.57,-6.5,2300,2280,1872,0.429,244,737,0.331,448,627,0.715,281,1037,451,278,75,468,639
Southern California NCAA,0.667,13.06,8,2391,2224,1878,0.455,214,620,0.345,465,624,0.745,310,1164,445,227,167,410,568
Southern Illinois,0.697,1.15,-2.14,2168,2026,1716,0.448,259,795,0.326,371,513,0.723,228,1040,459,238,70,414,539
SIU Edwardsville,0.576,-6.45,-7.52,2463,2353,1917,0.435,236,718,0.329,559,767,0.729,372,1222,407,228,141,421,576
Southern Indiana,0.485,-8.87,-7.13,2500,2447,1999,0.434,320,854,0.375,444,662,0.671,404,1272,420,237,77,440,604
Southern Methodist,0.313,-0.12,5.2,2248,2418,1919,0.422,201,646,0.311,427,634,0.674,335,1118,436,226,108,413,556
Southern Mississippi,0.758,3.31,-1.56,2436,2182,1937,0.455,230,714,0.322,444,622,0.714,366,1203,488,276,87,403,545
Southern Utah,0.649,3.39,1.42,3064,2764,2286,0.465,313,887,0.353,623,859,0.725,395,1427,485,268,125,492,680
St. Bonaventure,0.438,-1.32,-0.41,2136,2165,1794,0.429,226,650,0.348,372,529,0.703,301,1048,380,224,108,405,596
St. Francis (NY),0.467,-16.49,-11.17,1946,2034,1701,0.404,204,577,0.354,366,524,0.698,342,1016,369,223,144,414,460
St. John's (NY),0.545,8.64,6.49,2552,2481,2159,0.449,193,583,0.331,419,599,0.699,433,1324,500,272,123,462,535
St. Thomas,0.576,-3.1,-4.65,2447,2316,1895,0.447,297,844,0.352,456,581,0.785,272,1052,426,196,77,327,574
Stanford,0.424,9.64,7.67,2321,2256,1853,0.452,267,736,0.363,378,545,0.694,342,1137,490,188,106,413,557
Stephen F. Austin,0.594,0.73,-0.69,2427,2238,1834,0.473,203,532,0.382,490,684,0.716,342,1102,482,284,83,493,685
Stetson,0.548,-2.83,-2.69,2381,2287,1860,0.461,311,811,0.383,356,461,0.772,320,1085,429,159,99,329,484
Stonehill,0.452,-12.86,-8.59,2076,2157,1633,0.441,239,677,0.353,397,524,0.758,194,963,380,219,88,417,468
Stony Brook,0.333,-12.45,-4.13,2083,2279,1756,0.413,256,794,0.322,375,504,0.744,252,1119,389,144,83,413,499
Syracuse,0.531,5.39,4.17,2372,2333,1883,0.463,198,547,0.362,432,577,0.749,324,1113,459,241,161,373,427
Tarleton State,0.5,-0.76,1.71,2446,2308,1868,0.453,163,477,0.342,589,837,0.704,325,1077,437,330,96,424,694
TCU NCAA,0.629,15.61,8.78,2634,2395,2128,0.453,197,636,0.31,507,725,0.699,402,1254,565,281,166,416,578
Temple,0.5,4.68,5.3,2227,2247,1774,0.425,255,773,0.33,464,613,0.757,311,1126,441,159,128,434,538
Tennessee NCAA,0.694,20.84,7.98,2547,2084,2097,0.433,276,840,0.329,455,643,0.708,464,1382,601,297,130,431,596
Tennessee State,0.563,-9.01,-8.94,2499,2401,1935,0.449,281,804,0.35,482,694,0.695,336,1164,427,187,105,403,654
Tennessee Tech,0.485,-9.4,-6.37,2432,2421,1967,0.437,302,829,0.364,410,570,0.719,310,1159,476,207,80,416,527
Tennessee-Martin,0.576,-8.67,-7.91,2658,2489,2058,0.459,255,771,0.331,513,711,0.722,346,1293,450,249,114,394,603
Texas NCAA,0.763,20.56,10.43,2963,2578,2289,0.473,274,790,0.347,523,699,0.748,366,1296,614,299,136,439,663
Texas A&M NCAA,0.714,13.76,7.42,2549,2327,1932,0.432,217,666,0.326,662,872,0.759,435,1288,439,235,82,430,637
Texas A&M-Commerce,0.394,-11.09,-7.53,2362,2421,1890,0.454,278,868,0.32,366,522,0.701,303,1063,474,191,101,423,618
Texas A&M-Corpus Christi NCAA,0.686,-2.57,-7.02,2803,2561,2152,0.451,268,736,0.364,593,749,0.792,425,1306,536,296,60,448,665
Texas Southern NCAA,0.4,-10.56,-5.05,2422,2518,2095,0.427,163,588,0.277,471,709,0.664,405,1313,412,235,116,511,657
Texas State,0.457,-2.32,-0.7,2309,2334,1918,0.442,154,501,0.307,459,630,0.729,359,1143,346,220,124,411,630
Texas Tech,0.5,12.58,8.24,2347,2208,1810,0.459,230,666,0.345,455,630,0.722,334,1125,413,234,93,441,494
Texas-Rio Grande Valley,0.469,-6.48,-0.55,2518,2502,1852,0.469,222,655,0.339,560,802,0.698,345,1211,505,151,104,514,641
The Citadel,0.313,-12.13,-3.77,2158,2374,1786,0.432,228,702,0.325,388,514,0.755,234,1015,365,176,85,393,539
Toledo,0.771,5.76,-2.57,2989,2691,2138,0.494,302,764,0.395,573,744,0.77,353,1192,521,238,102,336,564
Towson,0.636,0.24,-4.79,2368,2202,1922,0.447,243,663,0.367,405,572,0.708,407,1232,461,205,113,404,538
