OPEID,Name,SchoolType,R,Drate
1378,CENTRAL CONNECTICUT STATE UNIVERSITY                             ,Public,Boston,5.7
1380,WESTERN CONNECTICUT STATE UNIVERSITY                             ,Public,Boston,6.3
1392,MANCHESTER COMMUNITY COLLEGE                                     ,Public,Boston,6.4
1398,NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE                       ,Public,Boston,5.4
1399,NORWALK COMMUNITY COLLEGE                                        ,Public,Boston,13
1406,SOUTHERN CONNECTICUT STATE UNIVERSITY                            ,Public,Boston,5.3
1417,UNIVERSITY OF CONNECTICUT                                        ,Public,Boston,2
1425,EASTERN CONNECTICUT STATE UNIVERSITY                             ,Public,Boston,5.2
2033,UNIVERSITY OF MAINE - PRESQUE ISLE                               ,Public,Boston,12.7
2040,UNIVERSITY OF MAINE - FARMINGTON                                 ,Public,Boston,6.7
2041,UNIVERSITY OF MAINE - FORT KENT                                  ,Public,Boston,5
2044,MAINE MARITIME ACADEMY                                           ,Public,Boston,2.2
2053,UNIVERSITY OF MAINE                                              ,Public,Boston,4
2054,UNIVERSITY OF SOUTHERN MAINE                                     ,Public,Boston,4.2
2161,UNIVERSITY OF MASSACHUSETTS - LOWELL                             ,Public,Boston,3.5
2167,BERKSHIRE COMMUNITY COLLEGE                                      ,Public,Boston,8.4
2168,CAPE COD COMMUNITY COLLEGE                                       ,Public,Boston,10.5
2169,GREENFIELD COMMUNITY COLLEGE                                     ,Public,Boston,11.7
2170,HOLYOKE COMMUNITY COLLEGE                                        ,Public,Boston,9.5
2171,MASSACHUSETTS BAY COMMUNITY COLLEGE                              ,Public,Boston,7.2
2172,MOUNT WACHUSETT COMMUNITY COLLEGE                                ,Public,Boston,11.3
2173,NORTH SHORE COMMUNITY COLLEGE                                    ,Public,Boston,10.4
2174,NORTHERN ESSEX COMMUNITY COLLEGE                                 ,Public,Boston,9.5
2175,QUINSIGAMOND COMMUNITY COLLEGE                                   ,Public,Boston,8
2176,BRISTOL COMMUNITY COLLEGE                                        ,Public,Boston,12.3
2177,MASSASOIT COMMUNITY COLLEGE                                      ,Public,Boston,11.1
2180,MASSACHUSETTS COLLEGE OF ART AND DESIGN                          ,Public,Boston,2.8
2181,MASSACHUSETTS MARITIME ACADEMY                                   ,Public,Boston,0.8
2183,BRIDGEWATER STATE UNIVERSITY                                     ,Public,Boston,5.6
2184,FITCHBURG STATE UNIVERSITY                                       ,Public,Boston,4.8
2185,FRAMINGHAM STATE UNIVERSITY                                      ,Public,Boston,3.8
2187,MASSACHUSETTS COLLEGE OF LIBERAL ARTS                            ,Public,Boston,3.4
2188,SALEM STATE UNIVERSITY                                           ,Public,Boston,5.9
2189,WESTFIELD STATE UNIVERSITY                                       ,Public,Boston,3.8
2190,WORCESTER STATE UNIVERSITY                                       ,Public,Boston,4.4
2205,QUINCY COLLEGE                                                   ,Public,Boston,8.7
2210,UNIVERSITY OF MASSACHUSETTS - DARTMOUTH                          ,Public,Boston,5.8
2221,UNIVERSITY OF MASSACHUSETTS - AMHERST                            ,Public,Boston,1.9
2222,UNIVERSITY OF MASSACHUSETTS - BOSTON                             ,Public,Boston,5.5
2581,NHTI - CONCORD'S COMMUNITY COLLEGE                               ,Public,Boston,6.9
2582,MANCHESTER COMMUNITY COLLEGE                                     ,Public,Boston,9
2583,GREAT BAY COMMUNITY COLLEGE                                      ,Public,Boston,9
2589,UNIVERSITY OF NEW HAMPSHIRE                                      ,Public,Boston,1.7
2590,KEENE STATE COLLEGE                                              ,Public,Boston,4.3
2591,PLYMOUTH STATE UNIVERSITY OF THE UNIVERSITY SYSTEM OF NEW HAMPSHI,Public,Boston,5.9
3407,RHODE ISLAND COLLEGE                                             ,Public,Boston,7.5
3408,COMMUNITY COLLEGE OF RHODE ISLAND                                ,Public,Boston,10.7
3414,UNIVERSITY OF RHODE ISLAND                                       ,Public,Boston,4.3
3683,CASTLETON UNIVERSITY                                             ,Public,Boston,5.7
3688,NORTHERN VERMONT UNIVERSITY                                      ,Public,Boston,5.2
3696,UNIVERSITY OF VERMONT AND STATE AGRICULTURAL COLLEGE             ,Public,Boston,1.7
3698,VERMONT TECHNICAL COLLEGE                                        ,Public,Boston,7
4513,HOUSATONIC COMMUNITY COLLEGE                                     ,Public,Boston,8.3
4669,UPPER CAPE COD REGIONAL TECHNICAL SCHOOL                         ,Public,Boston,3.8
5276,CENTRAL MAINE COMMUNITY COLLEGE                                  ,Public,Boston,11.7
5277,EASTERN MAINE COMMUNITY COLLEGE                                  ,Public,Boston,10.6
5279,GREATER LOWELL REGIONAL VOCATIONAL TECHNICAL SCHOOL              ,Public,Boston,8.5
5291,WHITE MOUNTAINS COMMUNITY COLLEGE                                ,Public,Boston,11.6
5519,DIMAN REGIONAL VOCATIONAL TECHNICAL INSTITUTE                    ,Public,Boston,10.8
5523,BLUE HILLS REGIONAL TECHNICAL SCHOOL                             ,Public,Boston,3.1
5525,SOUTHERN MAINE COMMUNITY COLLEGE                                 ,Public,Boston,9.2
5760,NORTHERN MAINE COMMUNITY COLLEGE                                 ,Public,Boston,9.7
6760,UNIVERSITY OF MAINE - AUGUSTA                                    ,Public,Boston,11
6982,NAUGATUCK VALLEY COMMUNITY COLLEGE                               ,Public,Boston,6.3
7555,LAKES REGION COMMUNITY COLLEGE                                   ,Public,Boston,11
7560,RIVER VALLEY COMMUNITY COLLEGE                                   ,Public,Boston,14.3
7635,CAPITAL COMMUNITY COLLEGE                                        ,Public,Boston,5.7
8037,GATEWAY COMMUNITY COLLEGE                                        ,Public,Boston,10.5
8038,MIDDLESEX COMMUNITY COLLEGE                                      ,Public,Boston,5.5
8078,SPRINGFIELD TECHNICAL COMMUNITY COLLEGE                          ,Public,Boston,9
9231,WASHINGTON COUNTY COMMUNITY COLLEGE                              ,Public,Boston,7.3
9236,NASHUA COMMUNITY COLLEGE                                         ,Public,Boston,11.1
9756,UNIVERSITY OF MASSACHUSETTS MEDICAL SCHOOL                       ,Public,Boston,0.6
9764,TUNXIS COMMUNITY COLLEGE                                         ,Public,Boston,4
9765,THREE RIVERS COMMUNITY COLLEGE                                   ,Public,Boston,5.8
9826,KENNEBEC VALLEY COMMUNITY COLLEGE                                ,Public,Boston,9.1
9936,MIDDLESEX COMMUNITY COLLEGE                                      ,Public,Boston,8
11150,ASNUNTUCK COMMUNITY COLLEGE                                      ,Public,Boston,12.9
11167,COMMUNITY COLLEGE OF VERMONT                                     ,Public,Boston,12.2
11210,BUNKER HILL COMMUNITY COLLEGE                                    ,Public,Boston,7.5
12187,BLACKSTONE VALLEY VOCATIONAL REGIONAL SCHOOL DISTRICT            ,Public,Boston,8.9
12386,SOUTHEASTERN REGIONAL VOCATIONAL TECHNICAL SCHOOL                ,Public,Boston,5
12881,MONTACHUSETT REGIONAL VOCATIONAL TECHNICAL SCHOOL                ,Public,Boston,6.1
21699,ASSABET VALLEY REGIONAL VOCATIONAL SCHOOL                        ,Public,Boston,2.6
31013,GRANITE STATE COLLEGE                                            ,Public,Boston,8.6
31040,SHAWSHEEN VALLEY SCHOOL OF PRACTICAL NURSING                     ,Public,Boston,15.7
31229,YORK COUNTY COMMUNITY COLLEGE                                    ,Public,Boston,13.5
32343,CHARTER OAK STATE COLLEGE                                        ,Public,Boston,3.4
41532,SOUTHERN WORCESTER COUNTY REGIONAL VOC SCHOOL DISTRICT           ,Public,Boston,5.5
1374,ALBERTUS MAGNUS COLLEGE                                          ,Private,Boston,5.6
1379,CONNECTICUT COLLEGE                                              ,Private,Boston,1.4
1385,FAIRFIELD UNIVERSITY                                             ,Private,Boston,2.2
1387,HARTFORD SEMINARY                                                ,Private,Boston,0
1389,HOLY APOSTLES COLLEGE & SEMINARY                                 ,Private,Boston,2.4
1393,MITCHELL COLLEGE                                                 ,Private,Boston,15
1397,UNIVERSITY OF NEW HAVEN                                          ,Private,Boston,3.7
1402,QUINNIPIAC UNIVERSITY                                            ,Private,Boston,2.3
1403,SACRED HEART UNIVERSITY                                          ,Private,Boston,2.1
1409,UNIVERSITY OF SAINT JOSEPH                                       ,Private,Boston,2.6
1414,TRINITY COLLEGE                                                  ,Private,Boston,1.9
1416,UNIVERSITY OF BRIDGEPORT                                         ,Private,Boston,7.1
1422,UNIVERSITY OF HARTFORD                                           ,Private,Boston,5.1
1424,WESLEYAN UNIVERSITY                                              ,Private,Boston,1.1
1426,YALE UNIVERSITY                                                  ,Private,Boston,0.7
2036,BATES COLLEGE                                                    ,Private,Boston,1.5
2038,BOWDOIN COLLEGE                                                  ,Private,Boston,0.7
2039,COLBY COLLEGE                                                    ,Private,Boston,2
2043,HUSSON UNIVERSITY                                                ,Private,Boston,4.9
2050,UNIVERSITY OF NEW ENGLAND                                        ,Private,Boston,1.8
2051,SAINT JOSEPH'S COLLEGE                                           ,Private,Boston,4.3
2052,THOMAS COLLEGE                                                   ,Private,Boston,7.3
2114,AMERICAN INTERNATIONAL COLLEGE                                   ,Private,Boston,6.1
2115,AMHERST COLLEGE                                                  ,Private,Boston,0
2117,ANNA MARIA COLLEGE                                               ,Private,Boston,6.1
2118,ASSUMPTION UNIVERSITY                                            ,Private,Boston,4.4
2120,MERRIMACK COLLEGE                                                ,Private,Boston,3.3
2121,BABSON COLLEGE                                                   ,Private,Boston,0.7
2122,BAY PATH UNIVERSITY                                              ,Private,Boston,4.9
2123,BECKER COLLEGE                                                   ,Private,Boston,5.9
2124,BENTLEY UNIVERSITY                                               ,Private,Boston,0.8
2126,BERKLEE COLLEGE OF MUSIC                                         ,Private,Boston,4.4
2128,BOSTON COLLEGE                                                   ,Private,Boston,0.9
2130,BOSTON UNIVERSITY                                                ,Private,Boston,1.4
2133,BRANDEIS UNIVERSITY                                              ,Private,Boston,1.2
2139,CLARK UNIVERSITY                                                 ,Private,Boston,1.7
2140,COLLEGE OF OUR LADY OF THE ELMS                                  ,Private,Boston,4.6
2141,COLLEGE OF THE HOLY CROSS                                        ,Private,Boston,1.2
2143,CURRY COLLEGE                                                    ,Private,Boston,5.7
2144,DEAN COLLEGE                                                     ,Private,Boston,12.9
2145,EASTERN NAZARENE COLLEGE                                         ,Private,Boston,5.3
2146,EMERSON COLLEGE                                                  ,Private,Boston,3.2
2147,EMMANUEL COLLEGE                                                 ,Private,Boston,4.4
2148,ENDICOTT COLLEGE                                                 ,Private,Boston,2.8
2150,FISHER COLLEGE                                                   ,Private,Boston,8.5
2151,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY                        ,Private,Boston,17.3
2153,GORDON COLLEGE                                                   ,Private,Boston,3.4
2154,HELLENIC COLLEGE & HOLY CROSS GREEK ORTHODOX SCHOOL OF THEOLOGY  ,Private,Boston,4.4
2155,HARVARD UNIVERSITY                                               ,Private,Boston,0.9
2157,HEBREW COLLEGE                                                   ,Private,Boston,6.1
2158,LASELL UNIVERSITY                                                ,Private,Boston,6.2
2160,LESLEY UNIVERSITY                                                ,Private,Boston,3.2
2164,NEW ENGLAND COLLEGE OF OPTOMETRY (THE)                           ,Private,Boston,0
2165,MCPHS UNIVERSITY                                                 ,Private,Boston,1.7
2178,MASSACHUSETTS INSTITUTE OF TECHNOLOGY                            ,Private,Boston,0.3
2192,MOUNT HOLYOKE COLLEGE                                            ,Private,Boston,1.5
2194,NEW ENGLAND CONSERVATORY OF MUSIC                                ,Private,Boston,1.6
2197,NICHOLS COLLEGE                                                  ,Private,Boston,7.7
2199,NORTHEASTERN UNIVERSITY                                          ,Private,Boston,1.5
2201,PINE MANOR COLLEGE                                               ,Private,Boston,16.1
2202,POPE ST. JOHN XXIII NATIONAL SEMINARY                            ,Private,Boston,0
2206,REGIS COLLEGE                                                    ,Private,Boston,3.9
2208,SIMMONS UNIVERSITY                                               ,Private,Boston,1.4
2209,SMITH COLLEGE                                                    ,Private,Boston,1.1
2211,SPRINGFIELD COLLEGE                                              ,Private,Boston,6.2
2217,STONEHILL COLLEGE                                                ,Private,Boston,1.4
2218,SUFFOLK UNIVERSITY                                               ,Private,Boston,4.3
2219,TUFTS UNIVERSITY                                                 ,Private,Boston,1.1
2224,WELLESLEY COLLEGE                                                ,Private,Boston,0.6
2225,WENTWORTH INSTITUTE OF TECHNOLOGY                                ,Private,Boston,2.5
2226,WESTERN NEW ENGLAND UNIVERSITY                                   ,Private,Boston,3.2
2227,WHEATON COLLEGE                                                  ,Private,Boston,1.5
2229,WILLIAMS COLLEGE                                                 ,Private,Boston,0
2233,WORCESTER POLYTECHNIC INSTITUTE                                  ,Private,Boston,1.1
2572,COLBY-SAWYER COLLEGE                                             ,Private,Boston,2.6
2573,DARTMOUTH COLLEGE                                                ,Private,Boston,1.3
2575,FRANKLIN PIERCE UNIVERSITY                                       ,Private,Boston,4.5
2579,NEW ENGLAND COLLEGE                                              ,Private,Boston,13.9
2580,SOUTHERN NEW HAMPSHIRE UNIVERSITY                                ,Private,Boston,8.7
2586,RIVIER UNIVERSITY                                                ,Private,Boston,2.4
2587,SAINT ANSELM COLLEGE                                             ,Private,Boston,1.3
3401,BROWN UNIVERSITY                                                 ,Private,Boston,0.8
3402,BRYANT UNIVERSITY                                                ,Private,Boston,0.9
3404,JOHNSON & WALES UNIVERSITY                                       ,Private,Boston,6.5
3406,PROVIDENCE COLLEGE                                               ,Private,Boston,1.8
3409,RHODE ISLAND SCHOOL OF DESIGN                                    ,Private,Boston,2.3
3410,ROGER WILLIAMS UNIVERSITY                                        ,Private,Boston,3.7
3411,SALVE REGINA UNIVERSITY                                          ,Private,Boston,1.4
3682,BENNINGTON COLLEGE                                               ,Private,Boston,2
3684,CHAMPLAIN COLLEGE                                                ,Private,Boston,5.1
3686,GODDARD COLLEGE                                                  ,Private,Boston,3.9
3691,MIDDLEBURY COLLEGE                                               ,Private,Boston,0.8
3692,NORWICH UNIVERSITY                                               ,Private,Boston,4.1
3694,SAINT MICHAEL'S COLLEGE                                          ,Private,Boston,2.6
3697,VERMONT COLLEGE OF FINE ARTS                                     ,Private,Boston,1.9
3966,BOSTON ARCHITECTURAL COLLEGE                                     ,Private,Boston,3.2
4661,HAMPSHIRE COLLEGE                                                ,Private,Boston,5.6
6305,MAINE COLLEGE OF HEALTH PROFESSIONS                              ,Private,Boston,5.8
6322,SIGNATURE HEALTHCARE BROCKTON HOSPITAL SCHOOL OF NURSING         ,Private,Boston,2.6
6324,LABOURé COLLEGE OF HEALTHCARE                                    ,Private,Boston,4.1
6331,LAWRENCE MEMORIAL HOSPITAL SCHOOL OF NURSING                     ,Private,Boston,5.4
6858,UNITY COLLEGE                                                    ,Private,Boston,5.4
7845,NEW ENGLAND INSTITUTE OF TECHNOLOGY                              ,Private,Boston,2.2
8860,SIT                                                              ,Private,Boston,1.7
8916,NEW ENGLAND LAW | BOSTON                                         ,Private,Boston,2.6
9645,BARD COLLEGE AT SIMON'S ROCK                                     ,Private,Boston,4.1
9747,GORDON CONWELL THEOLOGICAL SEMINARY                              ,Private,Boston,3.7
11385,COLLEGE OF THE ATLANTIC                                          ,Private,Boston,3.2
11673,MAINE COLLEGE OF ART                                             ,Private,Boston,6.5
11934,VERMONT LAW SCHOOL                                               ,Private,Boston,1
20630,MONTSERRAT COLLEGE OF ART                                        ,Private,Boston,6.4
21404,ST. JOSEPH SCHOOL OF NURSING                                     ,Private,Boston,0.7
21435,STERLING COLLEGE                                                 ,Private,Boston,7.3
21636,WILLIAM JAMES COLLEGE                                            ,Private,Boston,1.1
21829,CAMBRIDGE COLLEGE                                                ,Private,Boston,5.4
21979,NORTH BENNET STREET SCHOOL                                       ,Private,Boston,12.5
22233,MAGDALEN COLLEGE                                                 ,Private,Boston,8.8
22316,MGH INSTITUTE OF HEALTH PROFESSIONS                              ,Private,Boston,0.2
22449,GOODWIN UNIVERSITY                                               ,Private,Boston,6.5
22743,CONWAY SCHOOL OF LANDSCAPE DESIGN                                ,Private,Boston,2.8
23613,THE LANDING SCHOOL OF BOATBUILDING & DESIGN                      ,Private,Boston,6.3
25326,LANDMARK COLLEGE                                                 ,Private,Boston,7.6
30431,THOMAS MORE COLLEGE OF LIBERAL ARTS                              ,Private,Boston,1.3
31943,BOSTON GRADUATE SCHOOL OF PSYCHOANALYSIS                         ,Private,Boston,5.3
32353,MASSACHUSETTS SCHOOL OF LAW AT ANDOVER                           ,Private,Boston,4.5
32483,BOSTON BAPTIST COLLEGE                                           ,Private,Boston,1.4
34373,UPPER VALLEY EDUCATORS INSTITUTE                                 ,Private,Boston,0
35705,NORTHPOINT BIBLE COLLEGE                                         ,Private,Boston,4.8
37323,IYRS SCHOOL OF TECHNOLOGY & TRADES                               ,Private,Boston,5.8
39463,FRANKLIN W. OLIN COLLEGE OF ENGINEERING                          ,Private,Boston,0
41432,HULT INTERNATIONAL BUSINESS SCHOOL                               ,Private,Boston,3.3
41888,INSTITUTE FOR DOCTORAL STUDIES IN THE VISUAL ARTS                ,Private,Boston,0
1401,POST UNIVERSITY                                                  ,Proprietary,Boston,17.7
3965,BAY STATE COLLEGE                                                ,Proprietary,Boston,4.7
5204,BEAL UNIVERSITY                                                  ,Proprietary,Boston,11.2
6136,NATIONAL AVIATION ACADEMY - NEW ENGLAND                          ,Proprietary,Boston,5.5
7303,LINCOLN TECHNICAL INSTITUTE                                      ,Proprietary,Boston,10.3
7305,PORTER AND CHESTER INSTITUTE OF HAMDEN                           ,Proprietary,Boston,17.8
7459,PAIER COLLEGE OF ART                                             ,Proprietary,Boston,12.1
8645,EMPIRE BEAUTY SCHOOLS                                            ,Proprietary,Boston,4.2
8658,O'BRIENS AVEDA INSTITUTE                                         ,Proprietary,Boston,11.1
9459,EMPIRE BEAUTY SCHOOL                                             ,Proprietary,Boston,13.7
9899,LOWELL ACADEMY HAIR STYLING INSTITUTE                            ,Proprietary,Boston,12.5
10779,PORTER AND CHESTER INSTITUTE                                     ,Proprietary,Boston,18.9
12425,STONE ACADEMY                                                    ,Proprietary,Boston,9.4
12948,ROB ROY ACADEMY                                                  ,Proprietary,Boston,8.1
13189,CONTINENTAL ACADEMIE OF HAIR DESIGN                              ,Proprietary,Boston,4.3
20794,EMPIRE BEAUTY SCHOOL                                             ,Proprietary,Boston,12.6
20921,MASSACHUSETTS SCHOOL OF BARBERING                                ,Proprietary,Boston,10
21044,SPA TECH INSTITUTE                                               ,Proprietary,Boston,2.5
21066,AMERICAN INSTITUTE                                               ,Proprietary,Boston,13.5
21127,"NORTH HAVEN ACADEMY, LLC                                         ",Proprietary,Boston,7
21370,ROB ROY ACADEMY                                                  ,Proprietary,Boston,6.2
21748,MICHAEL'S SCHOOL OF HAIR DESIGN & ESTHETICS PAUL MITCHELL PARTNER,Proprietary,Boston,6.3
21796,EMPIRE BEAUTY SCHOOLS                                            ,Proprietary,Boston,9.4
21816,ROB ROY ACADEMY                                                  ,Proprietary,Boston,11.8
22025,NEW ENGLAND TRACTOR TRAILER TRAINING SCHOOL OF CONNECTICUT       ,Proprietary,Boston,9.4
22116,PAUL MITCHELL THE SCHOOL PORTSMOUTH                              ,Proprietary,Boston,12.6
22204,CATHERINE HINDS INSTITUTE OF ESTHETICS                           ,Proprietary,Boston,1.3
22454,KEENE BEAUTY ACADEMY                                             ,Proprietary,Boston,6.6
22470,NEW ENGLAND SCHOOL OF HAIR DESIGN                                ,Proprietary,Boston,9
23166,CORTIVA INSTITUTE                                                ,Proprietary,Boston,14.1
23374,BANCROFT SCHOOL OF MASSAGE THERAPY                               ,Proprietary,Boston,7.2
23394,ROB ROY ACADEMY                                                  ,Proprietary,Boston,7.5
25239,ELIZABETH GRADY SCHOOL OF ESTHETICS AND MASSAGE THERAPY          ,Proprietary,Boston,9.7
25844,NEW ENGLAND TRACTOR TRAILER TRAINING SCHOOL OF MASSACHUSETTS     ,Proprietary,Boston,8.9
30948,INDUSTRIAL MANAGEMENT & TRAINING INSTITUTE                       ,Proprietary,Boston,8.1
31152,MOTORING TECHNICAL TRAINING INSTITUTE                            ,Proprietary,Boston,14
32403,TONI & GUY HAIRDRESSING ACADEMY                                  ,Proprietary,Boston,4.7
33164,FINE MORTUARY COLLEGE                                            ,Proprietary,Boston,13.4
36123,BIRTHWISE MIDWIFERY SCHOOL                                       ,Proprietary,Boston,7.5
37293,NEW HAMPSHIRE INSTITUTE FOR THERAPEUTIC ARTS                     ,Proprietary,Boston,16.4
38593,EINE ELECTROLOGY/ESTHETICS INSTITUTE OF NE                       ,Proprietary,Boston,7.1
41043,ACADEMY DI CAPELLI                                               ,Proprietary,Boston,9.6
41169,DIGRIGOLI SCHOOL OF COSMETOLOGY                                  ,Proprietary,Boston,25
41280,MILLENNIUM TRAINING INSTITUTE                                    ,Proprietary,Boston,5.2
41288,BRANFORD ACADEMY OF HAIR & COSMETOLOGY                           ,Proprietary,Boston,14.7
41412,TONI & GUY HAIRDRESSING ACADEMY                                  ,Proprietary,Boston,6.2
41454,OXFORD ACADEMY OF HAIR DESIGN                                    ,Proprietary,Boston,16
41469,ADVANCED WELDING INSTITUTE                                       ,Proprietary,Boston,8.1
41484,TIGI HAIRDRESSING ACADEMY GUILFORD                               ,Proprietary,Boston,2
41524,INTERNATIONAL INSTITUTE OF COSMETOLOGY                           ,Proprietary,Boston,3.7
41774,CAPILO SCHOOL OF HAIR DESIGN                                     ,Proprietary,Boston,11.4
41851,NORTHEAST TECHNICAL INSTITUTE                                    ,Proprietary,Boston,5.6
41931,ALEXANDER ACADEMY                                                ,Proprietary,Boston,5.5
42192,ACE COSMETOLOGY & BARBERING TRAINING CENTER                      ,Proprietary,Boston,38.4
42242,BELLE ACADEMY OF COSMETOLOGY                                     ,Proprietary,Boston,13
42292,JUPITER BEAUTY ACADEMY                                           ,Proprietary,Boston,8
42309,RICCI'S TONI & GUY HAIRDRESSING ACADEMY/ TIGI CREATIVE SCHOOL    ,Proprietary,Boston,9.2
42498,DOLCE THE ACADEMY                                                ,Proprietary,Boston,29.3
2596,ATLANTIC CAPE COMMUNITY COLLEGE                                  ,Public,NY,10.3
2609,ROWAN UNIVERSITY                                                 ,Public,NY,4.6
2613,NEW JERSEY CITY UNIVERSITY                                       ,Public,NY,9.3
2615,MIDDLESEX COUNTY COLLEGE                                         ,Public,NY,6.5
2617,MONTCLAIR STATE UNIVERSITY                                       ,Public,NY,4.3
2621,NEW JERSEY INSTITUTE OF TECHNOLOGY                               ,Public,NY,4
2622,KEAN UNIVERSITY                                                  ,Public,NY,5.7
2624,OCEAN COUNTY COLLEGE                                             ,Public,NY,8.7
2625,WILLIAM PATERSON UNIVERSITY OF NEW JERSEY                        ,Public,NY,7.1
2629,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY                      ",Public,NY,2.6
2642,COLLEGE OF NEW JERSEY (THE)                                      ,Public,NY,1.3
2643,UNION COUNTY COLLEGE                                             ,Public,NY,8.1
2687,CUNY BROOKLYN COLLEGE                                            ,Public,NY,4.5
2688,CITY COLLEGE OF NEW YORK - CUNY                                  ,Public,NY,3.6
2689,CUNY HUNTER COLLEGE                                              ,Public,NY,3.1
2690,CUNY QUEENS COLLEGE                                              ,Public,NY,4.1
2691,CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE                      ,Public,NY,10.6
2692,CUNY BRONX COMMUNITY COLLEGE                                     ,Public,NY,13.6
2693,CUNY JOHN JAY COLLEGE OF CRIMINAL JUSTICE                        ,Public,NY,4.2
2694,KINGSBOROUGH COMMMUNITY COLLEGE/CUNY                             ,Public,NY,8.5
2696,NEW YORK CITY COLLEGE OF TECHNOLOGY OF THE CITY UNIVERSITY OF NEW,Public,NY,7.3
2697,QUEENSBOROUGH COMMUNITY COLLEGE-CUNY                             ,Public,NY,5.9
2698,COLLEGE OF STATEN ISLAND/CUNY                                    ,Public,NY,7.9
2835,STATE UNIVERSITY OF NEW YORK AT ALBANY                           ,Public,NY,4.4
2836,BINGHAMTON UNIVERSITY                                            ,Public,NY,1.9
2837,STATE UNIVERSITY OF NEW YORK AT BUFFALO                          ,Public,NY,2.8
2838,STATE UNIVERSITY OF NEW YORK AT STONY BROOK                      ,Public,NY,2
2839,STATE UNIVERSITY OF NEW YORK DOWNSTATE MEDICAL CENTER            ,Public,NY,0.4
2840,STATE UNIVERSITY OF NEW YORK UPSTATE MEDICAL UNIVERSITY          ,Public,NY,2.4
2841,SUNY COLLEGE AT BROCKPORT                                        ,Public,NY,3.8
2842,SUNY COLLEGE AT BUFFALO                                          ,Public,NY,10.1
2843,SUNY COLLEGE AT CORTLAND                                         ,Public,NY,3.5
2844,SUNY AT FREDONIA                                                 ,Public,NY,4.5
2845,SUNY COLLEGE AT GENESEO                                          ,Public,NY,1.3
2846,STATE UNIVERSITY OF NEW YORK AT NEW PALTZ                        ,Public,NY,2.7
2847,SUNY COLLEGE AT ONEONTA                                          ,Public,NY,2.6
2848,SUNY COLLEGE AT OSWEGO                                           ,Public,NY,4.4
2849,STATE UNIVERSITY OF NEW YORK COLLEGE AT PLATTSBURGH              ,Public,NY,2.8
2850,STATE UNIVERSITY OF NEW YORK COLLEGE AT POTSDAM                  ,Public,NY,6.7
2851,SUNY COLLEGE OF ENVIRONMENT SCIENCE & FORESTRY                   ,Public,NY,0.6
2853,SUNY MARITIME COLLEGE                                            ,Public,NY,2.2
2854,SUNY COLLEGE OF TECHNOLOGY AT ALFRED                             ,Public,NY,6.5
2855,SUNY COLLEGE OF TECHNOLOGY AT CANTON                             ,Public,NY,6.4
2856,SUNY COLLEGE OF AGRICULTURE & TECHNOLOGY AT COBLESKILL           ,Public,NY,11.1
2857,SUNY COLLEGE OF TECHNOLOGY AT DELHI                              ,Public,NY,9.8
2858,STATE UNIVERSITY OF NEW YORK AT FARMINGDALE                      ,Public,NY,3.4
2859,SUNY COLLEGE OF AGRICULTURE & TECHNOLOGY AT MORRISVILLE          ,Public,NY,10.7
2860,ADIRONDACK COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES ,Public,NY,14.6
2861,CAYUGA COMMUNITY COLLEGE                                         ,Public,NY,12.6
2862,SUNY BROOME COMMUNITY COLLEGE                                    ,Public,NY,14.2
2863,CORNING COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES    ,Public,NY,11.2
2864,DUTCHESS COMMUNITY COLLEGE                                       ,Public,NY,11.4
2866,FASHION INSTITUTE OF TECHNOLOGY                                  ,Public,NY,2
2867,SUNY FULTON-MONTGOMERY COMMUNITY COLLEGE                         ,Public,NY,14.3
2868,HUDSON VALLEY COMMUNITY COLLEGE                                  ,Public,NY,8.4
2869,JAMESTOWN COMMUNITY COLLEGE                                      ,Public,NY,12.9
2870,JEFFERSON COMMUNITY COLLEGE                                      ,Public,NY,14.4
2871,MOHAWK VALLEY COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEG,Public,NY,16.2
2872,MONROE COMMUNITY COLLEGE                                         ,Public,NY,13.6
2873,NASSAU COMMUNITY COLLEGE                                         ,Public,NY,9.5
2874,NIAGARA COUNTY COMMUNITY COLLEGE                                 ,Public,NY,13
2875,ONONDAGA COMMUNITY COLLEGE                                       ,Public,NY,17.6
2876,ORANGE COUNTY COMMUNITY COLLEGE                                  ,Public,NY,9.8
2877,ROCKLAND COMMUNITY COLLEGE                                       ,Public,NY,11
2878,SUFFOLK COUNTY COMMUNITY COLLEGE                                 ,Public,NY,7.4
2879,SULLIVAN COUNTY COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLL,Public,NY,19
2880,ULSTER COUNTY COMMUNITY COLLEGE                                  ,Public,NY,12.1
2881,SUNY WESTCHESTER COMMUNITY COLLEGE                               ,Public,NY,11.6
2892,UNITED STATES MERCHANT MARINE ACADEMY                            ,Public,NY,0
3942,UNIVERSITY OF PUERTO RICO - CENTRAL ADMINISTRATION               ,Public,NY,5.2
